animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,milk_conductivity_mS_cm,body_temperature_c,udder_surface_temperature_c,milk_yield_kg_day,ambient_temperature_c,relative_humidity_pct,hygiene_score_0_100,cmt_test,synthetic_risk_score_pct,mastitis_risk_category,farm_id,record_date,temperature_humidity_index,abnormal_behavior
10024,Hariana,4,1,187,0,4.03,39.0,35.46,8.18,27.9,77.4,93.2,1+,42.6,Low,F05,2026-08-31,79.169,0
10025,Hallikar,10,5,117,0,3.47,38.74,34.07,10.9,33.2,78.1,92.1,Negative,8.4,No_Risk,F06,2026-08-31,87.6428,0
10026,Dangi,9,1,256,0,3.35,38.75,36.25,10.16,22.2,74.7,37.0,1+,85.6,High,F07,2026-08-31,69.9866,1
10027,Kankrej,9,1,192,0,4.67,38.05,33.88,7.84,24.6,70.8,88.3,Negative,5.9,No_Risk,F08,2026-08-31,73.30160000000001,0
10028,Sahiwal,8,3,209,0,4.08,39.08,34.48,13.05,30.2,84.4,87.8,1+,66.1,Moderate,F09,2026-08-31,83.89519999999999,1
10029,Hallikar,5,5,141,0,4.7,38.44,35.65,10.12,24.1,54.1,72.0,1+,37.3,Low,F10,2026-08-31,70.9277,0
10030,Rathi,3,5,65,1,6.08,38.62,33.02,8.63,24.9,68.8,52.5,1+,64.7,Moderate,F01,2026-08-31,73.544,1
10031,Gir,4,4,83,0,3.6,38.23,32.72,11.2,27.2,59.1,87.2,Negative,1.0,No_Risk,F02,2026-08-31,75.7248,0
10032,Hallikar,9,1,149,1,3.85,38.09,34.3,12.66,31.7,78.7,68.4,Trace,13.4,No_Risk,F03,2026-08-31,85.3751,0
10033,Vechur,8,1,212,0,4.23,39.01,34.81,7.62,22.4,46.0,80.2,1+,49.5,Low,F04,2026-08-31,68.0,1
10034,Kankrej,7,2,200,1,5.39,39.17,34.96,12.58,29.6,67.7,100.0,2+,82.4,High,F05,2026-08-31,80.3704,1
10035,Krishna Valley,8,4,48,1,4.04,38.66,35.0,14.85,32.6,72.0,75.8,2+,71.5,Moderate,F06,2026-08-31,85.584,1
10036,Hallikar,4,2,168,0,4.12,38.36,33.47,6.22,28.3,56.6,58.2,Negative,1.7,No_Risk,F07,2026-08-31,76.9074,0
10037,Deoni,4,2,30,1,5.54,38.59,34.25,10.67,27.7,60.5,67.0,1+,43.9,Low,F08,2026-08-31,76.6065,0
10038,Gir,8,2,183,1,3.59,38.6,33.91,9.59,30.4,68.2,60.2,Trace,50.7,Moderate,F09,2026-08-31,81.632,1
10039,Kangayam,3,3,132,0,4.25,38.18,33.49,12.6,28.3,79.5,78.5,Negative,2.6,No_Risk,F10,2026-08-31,80.09049999999999,0
10040,Kangayam,6,3,206,0,3.75,38.5,34.15,6.85,33.9,55.6,59.9,Negative,12.1,No_Risk,F01,2026-08-31,84.362,0
10041,Umblachery,4,2,251,0,4.18,38.65,34.88,15.39,25.1,57.7,64.9,1+,64.4,Moderate,F02,2026-08-31,72.6539,1
10042,Vechur,8,4,246,1,5.11,39.08,36.65,5.4,28.8,81.5,52.7,3+,94.8,High,F03,2026-08-31,81.176,1
10043,Hallikar,9,1,117,1,4.79,38.72,34.71,9.77,29.7,64.7,70.0,1+,80.9,High,F04,2026-08-31,80.0591,1
10044,Hallikar,8,4,74,1,3.99,38.17,32.5,11.8,27.7,58.7,74.7,Negative,3.5,No_Risk,F05,2026-08-31,76.3671,0
10045,Umblachery,5,5,130,0,3.77,38.72,34.22,8.44,21.0,76.7,31.7,Trace,56.5,Moderate,F06,2026-08-31,68.2622,1
10046,Dangi,6,3,171,1,5.58,38.63,34.24,7.27,28.4,62.1,75.9,2+,55.8,Moderate,F07,2026-08-31,77.814,1
10047,Dangi,7,1,265,0,4.31,39.08,35.71,11.17,32.2,80.3,71.3,3+,95.3,High,F08,2026-08-31,86.45340000000002,1
10048,Umblachery,3,1,88,0,4.65,39.1,35.15,10.73,31.7,60.0,60.5,2+,71.6,Moderate,F09,2026-08-31,82.13999999999999,1
10049,Dangi,10,5,269,0,4.26,39.11,36.03,10.52,30.2,66.1,100.0,1+,82.1,High,F10,2026-08-31,81.0038,1
10050,Red Sindhi,7,5,55,0,4.63,38.4,34.51,13.08,25.2,79.3,86.4,Negative,14.0,No_Risk,F01,2026-08-31,75.1244,0
10051,Hallikar,6,2,258,0,3.84,39.3,36.64,9.32,30.4,65.3,55.6,3+,96.8,High,F02,2026-08-31,81.168,1
10052,Ongole,6,3,167,0,3.6,38.72,33.89,11.46,27.0,77.1,84.6,Negative,7.4,No_Risk,F03,2026-08-31,77.71459999999999,0
10053,Tharparkar,6,3,246,0,4.6,39.17,35.25,8.98,30.2,67.2,90.7,2+,46.9,Low,F04,2026-08-31,81.1776,1
10054,Deoni,7,4,263,0,4.83,38.42,34.86,7.92,29.4,91.8,74.0,1+,8.1,No_Risk,F05,2026-08-31,83.69,0
10055,Red Sindhi,9,2,220,0,3.51,38.5,33.74,9.65,25.6,86.8,77.4,Negative,5.5,No_Risk,F06,2026-08-31,76.6016,0
10056,Rathi,6,2,173,0,3.73,38.7,33.57,9.0,25.9,52.1,77.1,Negative,4.2,No_Risk,F07,2026-08-31,73.11149999999999,0
10057,Red Sindhi,8,2,92,0,3.99,38.65,33.7,9.15,30.2,74.3,40.7,Trace,23.9,No_Risk,F08,2026-08-31,82.29939999999999,0
10058,Ongole,7,2,220,0,5.15,39.04,34.28,13.68,28.2,58.2,69.2,2+,67.4,Moderate,F09,2026-08-31,76.9916,1
10059,Rathi,10,3,36,0,4.47,38.52,34.62,9.74,26.1,70.3,68.4,Trace,58.0,Moderate,F10,2026-08-31,75.5051,1
10060,Deoni,6,3,148,0,3.24,39.01,33.35,8.51,25.8,68.8,93.5,Negative,5.4,No_Risk,F01,2026-08-31,74.8832,1
10061,Ongole,8,2,236,0,4.04,38.86,33.27,10.58,27.9,55.3,77.0,Negative,5.5,No_Risk,F02,2026-08-31,76.18549999999999,0
10062,Sahiwal,9,4,80,0,3.94,38.53,35.69,10.81,34.5,80.7,67.5,1+,51.1,Moderate,F03,2026-08-31,90.2207,1
10063,Tharparkar,5,1,123,0,3.34,38.83,33.88,6.94,27.2,70.4,70.6,Negative,6.1,No_Risk,F04,2026-08-31,77.1712,0
10064,Deoni,9,1,61,0,4.03,38.43,34.36,9.6,29.0,64.6,87.4,Negative,7.5,No_Risk,F05,2026-08-31,79.0316,0
10065,Hallikar,10,4,44,1,4.46,39.54,34.69,9.48,29.4,62.7,69.2,2+,82.1,High,F06,2026-08-31,79.32499999999999,1
10066,Dangi,6,2,58,0,3.86,37.7,34.28,9.98,25.0,69.7,61.5,Negative,2.3,No_Risk,F07,2026-08-31,73.7882,0
10067,Sahiwal,10,3,150,0,3.84,38.84,33.9,12.68,22.8,72.9,67.9,Trace,13.0,No_Risk,F08,2026-08-31,70.7636,0
10068,Vechur,7,1,248,0,5.06,37.98,32.95,10.68,25.4,66.5,86.1,Negative,1.2,No_Risk,F09,2026-08-31,74.035,0
10069,Deoni,4,5,127,0,3.86,38.52,35.27,14.18,29.9,35.0,79.4,Negative,34.0,Low,F10,2026-08-31,75.745,0
10070,Vechur,6,5,191,0,4.13,38.57,35.15,10.47,29.3,68.2,72.7,Trace,15.1,No_Risk,F01,2026-08-31,80.0018,0
10071,Rathi,4,4,121,0,4.06,39.13,34.97,15.83,31.5,50.7,74.9,Trace,42.5,Low,F02,2026-08-31,80.2697,1
10072,Sahiwal,8,2,31,0,3.77,38.36,35.0,9.12,29.3,65.5,63.6,Negative,7.0,No_Risk,F03,2026-08-31,79.5995,0
10073,Tharparkar,5,1,120,0,4.15,39.06,36.44,8.19,28.6,51.1,69.1,2+,86.9,High,F04,2026-08-31,76.53620000000001,1
10074,Hallikar,3,2,63,0,4.14,38.19,34.8,12.14,26.9,51.0,62.1,Negative,3.8,No_Risk,F05,2026-08-31,74.295,0
10075,Umblachery,10,1,36,1,4.7,39.19,35.57,14.59,32.1,82.8,67.6,3+,97.9,High,F06,2026-08-31,86.7356,1
10076,Hallikar,9,4,76,1,4.09,38.55,34.36,6.36,25.8,64.2,92.2,Trace,51.5,Moderate,F07,2026-08-31,74.3588,1
10077,Ongole,5,4,31,0,3.97,38.63,34.72,9.91,25.1,63.2,55.8,2+,28.3,Low,F08,2026-08-31,73.2424,0
10078,Hallikar,6,5,99,1,5.14,38.6,33.91,8.36,31.0,73.8,61.7,2+,83.2,High,F09,2026-08-31,83.4508,1
10079,Krishna Valley,4,2,235,0,3.98,39.05,34.68,10.93,24.3,63.6,53.2,3+,66.3,Moderate,F10,2026-08-31,72.13640000000001,1
10080,Hariana,9,5,168,0,4.21,38.98,35.12,10.53,37.5,93.2,49.9,3+,94.4,High,F01,2026-08-31,97.9292,1
10081,Umblachery,4,2,100,0,4.21,38.76,33.93,14.54,29.3,64.7,69.2,1+,60.1,Moderate,F02,2026-08-31,79.4803,1
10082,Red Sindhi,7,5,234,0,4.37,38.2,33.91,10.17,30.2,72.4,62.7,1+,11.2,No_Risk,F03,2026-08-31,81.9992,0
10083,Dangi,4,3,217,1,5.01,38.47,34.2,14.43,26.2,79.7,98.4,Negative,10.5,No_Risk,F04,2026-08-31,76.7646,0
10084,Gir,7,3,219,0,3.99,38.24,35.12,9.55,27.9,87.2,67.8,Trace,31.0,Low,F05,2026-08-31,80.49199999999999,0
10085,Tharparkar,8,3,44,1,4.06,37.93,33.29,13.28,27.5,59.1,91.3,Negative,2.4,No_Risk,F06,2026-08-31,76.1421,0
10086,Sahiwal,9,3,108,0,3.31,39.04,35.49,11.19,27.1,63.0,86.5,Trace,38.9,Low,F07,2026-08-31,76.081,1
10087,Hariana,9,1,162,1,5.31,38.61,34.83,15.23,31.2,83.3,68.9,3+,85.8,High,F08,2026-08-31,85.3544,1
10088,Tharparkar,3,3,78,0,4.6,38.48,34.83,6.07,27.4,77.7,100.0,Negative,9.2,No_Risk,F09,2026-08-31,78.42099999999999,0
10089,Sahiwal,6,4,45,0,4.52,39.12,34.4,7.01,32.6,80.9,76.0,1+,76.1,High,F10,2026-08-31,87.2038,1
10090,Dangi,7,4,66,0,4.63,38.43,32.85,15.99,38.0,51.6,94.7,Negative,3.5,No_Risk,F01,2026-08-31,88.9776,0
10091,Kankrej,3,1,35,0,3.99,38.31,34.65,8.3,28.0,86.6,92.9,Trace,4.0,No_Risk,F02,2026-08-31,80.57759999999999,0
10092,Kankrej,4,3,218,0,3.69,38.52,34.35,8.49,29.5,58.9,78.2,Negative,10.5,No_Risk,F03,2026-08-31,78.8939,0
10093,Vechur,4,3,105,0,3.46,38.2,35.0,7.87,30.3,70.3,83.3,Negative,7.2,No_Risk,F04,2026-08-31,81.8177,0
10094,Tharparkar,3,3,269,1,3.94,38.84,33.92,13.95,35.3,66.2,81.4,Trace,21.6,No_Risk,F05,2026-08-31,88.47579999999999,0
10095,Kankrej,9,5,136,0,4.89,38.47,34.81,6.66,28.7,57.5,54.8,1+,71.6,Moderate,F06,2026-08-31,77.5825,1
10096,Krishna Valley,4,2,26,0,3.78,38.42,35.04,10.57,26.1,51.0,72.9,Negative,6.8,No_Risk,F07,2026-08-31,73.247,0
10097,Umblachery,10,5,156,0,4.79,38.39,34.12,9.7,24.6,47.1,88.1,Negative,7.5,No_Risk,F08,2026-08-31,70.8842,0
10098,Sahiwal,8,2,195,0,3.98,38.56,34.53,13.61,28.8,69.4,94.9,Negative,14.5,No_Risk,F09,2026-08-31,79.43360000000001,0
10099,Vechur,8,3,234,0,3.66,38.63,34.51,8.81,27.4,49.7,61.2,Negative,11.3,No_Risk,F10,2026-08-31,74.781,0
10100,Hallikar,10,3,101,0,3.39,38.42,33.54,11.75,36.0,54.4,79.9,Negative,1.0,No_Risk,F01,2026-08-31,86.9504,0
10101,Sahiwal,3,5,242,0,3.72,38.47,34.62,6.99,35.2,65.4,74.3,Negative,10.0,No_Risk,F02,2026-08-31,88.1632,0
10102,Vechur,10,5,122,0,5.02,38.57,35.5,17.12,25.4,36.3,70.2,1+,46.2,Low,F03,2026-08-31,70.713,0
10103,Dangi,7,2,33,0,3.4,38.54,34.22,9.78,26.5,77.3,77.3,Negative,10.6,No_Risk,F04,2026-08-31,76.9533,0
10104,Tharparkar,7,4,178,0,5.48,38.61,33.03,9.92,29.3,39.1,75.3,Negative,12.2,No_Risk,F05,2026-08-31,75.6659,0
10105,Dangi,3,2,171,0,3.55,38.36,33.65,15.46,33.9,67.1,80.1,Negative,2.9,No_Risk,F06,2026-08-31,86.6045,0
10106,Umblachery,10,5,127,0,4.59,38.95,33.28,8.74,29.2,68.2,93.6,Negative,6.2,No_Risk,F07,2026-08-31,79.8536,0
10107,Umblachery,7,5,207,0,4.01,38.63,35.23,15.5,26.7,74.5,83.8,1+,30.8,Low,F08,2026-08-31,76.92349999999999,0
10108,Hariana,9,1,117,0,3.89,38.42,34.81,9.27,28.8,67.5,76.7,Trace,24.1,No_Risk,F09,2026-08-31,79.16,0
10109,Dangi,10,5,150,0,3.27,38.72,33.84,12.52,26.8,92.2,100.0,Negative,2.8,No_Risk,F10,2026-08-31,79.27279999999999,0
10110,Ongole,9,1,190,1,4.59,38.69,33.07,8.78,31.1,70.6,88.6,Trace,17.4,No_Risk,F01,2026-08-31,83.0702,0
10111,Hallikar,7,4,202,0,3.35,37.99,33.53,6.43,26.5,80.6,70.6,Negative,1.0,No_Risk,F02,2026-08-31,77.3526,0
10112,Deoni,8,2,58,1,3.56,38.84,33.97,11.74,27.2,59.3,53.7,2+,26.5,Low,F03,2026-08-31,75.7504,0
10113,Dangi,7,2,34,0,4.18,38.24,34.29,12.42,33.1,69.4,57.2,Negative,8.7,No_Risk,F04,2026-08-31,85.8578,0
10114,Hariana,9,1,23,0,3.69,38.93,34.71,6.55,26.3,86.6,86.0,Negative,22.9,No_Risk,F05,2026-08-31,77.7454,0
10115,Rathi,5,2,229,0,5.19,38.52,35.27,9.22,23.9,65.1,62.5,2+,90.8,High,F06,2026-08-31,71.7045,1
10116,Krishna Valley,6,5,180,1,5.3,38.99,34.23,13.65,29.3,70.3,56.9,2+,83.9,High,F07,2026-08-31,80.3147,1
10117,Sahiwal,4,3,35,0,5.2,38.38,32.99,11.94,27.7,79.8,60.6,1+,19.3,No_Risk,F08,2026-08-31,79.17339999999999,0
10118,Umblachery,10,1,127,1,4.21,38.74,33.36,9.31,30.8,59.1,61.7,Trace,11.3,No_Risk,F09,2026-08-31,80.7324,0
10119,Rathi,5,2,246,1,4.74,39.14,35.07,8.71,30.1,42.1,84.8,3+,91.9,High,F10,2026-08-31,77.0897,1
10120,Hariana,7,1,189,0,2.5,38.51,33.62,16.34,28.9,71.1,69.6,Negative,2.3,No_Risk,F01,2026-08-31,79.8295,0
10121,Vechur,8,1,53,0,3.92,38.39,33.97,6.16,28.8,79.9,51.4,Negative,23.0,No_Risk,F02,2026-08-31,80.94560000000001,0
10122,Deoni,3,3,270,0,4.16,38.83,34.1,10.32,26.4,51.8,72.5,Negative,27.0,Low,F03,2026-08-31,73.73599999999999,0
10123,Hallikar,7,5,266,0,4.2,38.82,35.24,6.11,29.3,76.0,75.3,2+,67.4,Moderate,F04,2026-08-31,81.164,1
10124,Hallikar,8,1,160,1,4.62,38.53,33.73,14.44,32.1,76.1,64.8,2+,40.8,Low,F05,2026-08-31,85.5497,0
10125,Hallikar,6,2,115,1,4.69,38.03,33.9,10.48,25.6,40.7,89.3,Negative,6.6,No_Risk,F06,2026-08-31,71.4384,0
10126,Krishna Valley,7,4,246,0,2.5,38.39,34.77,11.03,29.0,56.8,65.7,Negative,2.9,No_Risk,F07,2026-08-31,77.8928,0
10127,Deoni,9,1,58,0,4.27,38.84,34.02,18.81,32.6,63.3,88.6,Negative,23.0,No_Risk,F08,2026-08-31,84.00059999999999,0
10128,Krishna Valley,3,1,48,1,4.96,38.45,34.54,8.57,30.8,65.8,81.0,Trace,53.8,Moderate,F09,2026-08-31,81.8312,1
10129,Umblachery,8,3,264,0,4.97,38.6,34.47,15.59,33.6,59.1,85.9,Negative,17.1,No_Risk,F10,2026-08-31,84.6272,0
10130,Krishna Valley,8,5,255,1,4.89,38.49,34.31,9.25,27.0,58.4,55.5,2+,38.2,Low,F01,2026-08-31,75.3584,0
10131,Gir,8,4,204,0,4.02,37.92,33.29,9.8,22.6,88.1,73.5,Negative,4.7,No_Risk,F02,2026-08-31,71.7042,0
10132,Deoni,6,2,255,0,4.82,38.36,35.18,18.4,29.7,66.7,71.2,Negative,34.7,Low,F03,2026-08-31,80.3651,0
10133,Ongole,7,4,258,0,2.57,38.84,36.25,10.02,30.3,59.7,50.7,2+,46.8,Low,F04,2026-08-31,80.1323,0
10134,Deoni,6,2,84,0,3.77,37.77,34.21,6.38,33.8,67.5,88.6,Negative,2.0,No_Risk,F05,2026-08-31,86.535,0
10135,Hariana,10,5,196,0,3.6,38.69,33.36,11.35,33.2,74.4,59.7,Negative,7.0,No_Risk,F06,2026-08-31,86.94720000000001,0
10136,Gir,4,2,22,0,4.08,38.18,34.22,9.98,30.9,68.6,62.9,Negative,15.0,No_Risk,F07,2026-08-31,82.439,0
10137,Hallikar,4,3,161,0,2.67,38.81,35.22,11.6,31.7,65.5,56.8,1+,7.7,No_Risk,F08,2026-08-31,83.0915,0
10138,Hariana,10,3,177,1,5.51,38.97,34.25,9.46,28.3,60.2,82.5,2+,78.0,High,F09,2026-08-31,77.40780000000001,1
10139,Hariana,7,3,165,1,4.49,38.66,34.1,17.15,24.7,60.1,49.1,2+,83.2,High,F10,2026-08-31,72.3503,1
10140,Umblachery,9,3,172,0,4.31,38.54,34.47,12.17,29.4,60.8,81.3,Trace,22.1,No_Risk,F01,2026-08-31,79.03999999999999,0
10141,Kangayam,6,4,212,0,4.25,38.32,35.16,7.28,32.4,72.1,87.7,Trace,41.5,Low,F02,2026-08-31,85.298,0
10142,Red Sindhi,3,5,92,0,4.92,38.13,34.82,10.77,31.3,56.1,80.1,Negative,5.5,No_Risk,F03,2026-08-31,80.9209,0
10143,Gir,8,2,159,0,2.89,39.19,35.84,8.1,31.9,72.7,82.7,1+,66.9,Moderate,F04,2026-08-31,84.6425,1
10144,Hariana,8,2,206,0,4.17,38.3,33.86,9.76,27.5,85.0,83.4,Negative,10.9,No_Risk,F05,2026-08-31,79.535,0
10145,Red Sindhi,7,3,80,0,4.85,39.15,35.42,7.73,28.1,71.9,57.8,3+,79.5,High,F06,2026-08-31,78.7303,1
10146,Red Sindhi,9,3,217,0,4.04,38.3,33.62,16.82,30.7,63.6,93.5,Negative,2.3,No_Risk,F07,2026-08-31,81.32679999999999,0
10147,Gir,4,1,30,0,3.48,38.78,35.04,8.43,27.1,52.4,65.1,Negative,16.1,No_Risk,F08,2026-08-31,74.7348,0
10148,Kangayam,4,5,81,0,3.71,38.2,35.12,12.56,27.2,86.9,71.0,Trace,4.8,No_Risk,F09,2026-08-31,79.2832,0
10149,Rathi,8,4,245,0,3.84,38.78,34.81,9.53,30.0,54.0,67.0,Trace,20.9,No_Risk,F10,2026-08-31,78.824,0
10150,Vechur,7,2,172,1,4.18,38.61,33.91,7.02,31.7,78.2,79.4,1+,45.7,Low,F01,2026-08-31,85.2886,0
10151,Ongole,6,1,218,0,4.0,38.49,34.04,11.09,28.3,75.7,63.9,Trace,10.3,No_Risk,F02,2026-08-31,79.5623,0
10152,Vechur,4,1,71,0,5.08,38.81,35.87,11.45,24.9,65.2,73.0,1+,80.8,High,F03,2026-08-31,73.166,1
10153,Deoni,6,2,279,0,3.71,38.44,33.92,12.18,26.4,64.8,53.5,Negative,8.1,No_Risk,F04,2026-08-31,75.29599999999999,0
10154,Hallikar,9,4,78,0,3.78,38.1,35.04,3.0,29.7,46.0,89.5,Negative,3.9,No_Risk,F05,2026-08-31,77.19800000000001,0
10155,Ongole,4,1,91,0,4.4,38.87,34.8,6.8,29.7,72.0,82.1,Negative,20.7,No_Risk,F06,2026-08-31,81.17599999999999,0
10156,Deoni,4,1,167,0,3.99,38.2,33.93,13.37,29.8,75.4,67.6,Negative,7.7,No_Risk,F07,2026-08-31,81.8516,0
10157,Hariana,5,5,82,1,3.79,38.9,33.53,7.73,30.8,54.9,65.0,Trace,8.7,No_Risk,F08,2026-08-31,80.0436,0
10158,Hallikar,4,4,262,0,4.06,38.94,34.85,11.11,29.0,66.1,81.7,Negative,26.4,Low,F09,2026-08-31,79.25059999999999,0
10159,Sahiwal,10,1,126,0,4.04,38.47,34.27,6.73,29.9,68.5,61.4,Negative,25.0,Low,F10,2026-08-31,80.9375,0
10160,Gir,3,4,245,1,5.28,39.13,36.51,12.26,28.8,75.0,73.9,3+,98.0,High,F01,2026-08-31,80.24000000000001,1
10161,Ongole,10,2,237,0,3.47,38.77,33.65,13.29,33.0,68.0,89.4,Negative,2.9,No_Risk,F02,2026-08-31,85.44800000000001,0
10162,Ongole,7,3,260,0,4.74,38.36,36.04,12.7,34.0,48.5,59.8,1+,67.3,Moderate,F03,2026-08-31,83.106,1
10163,Dangi,7,1,278,0,4.04,39.09,35.28,13.6,24.8,61.6,77.5,Negative,43.3,Low,F04,2026-08-31,72.6464,1
10164,Hariana,6,5,24,0,3.38,38.2,34.5,15.19,28.1,70.7,76.7,Negative,6.1,No_Risk,F05,2026-08-31,78.5659,0
10165,Rathi,10,2,280,1,3.8,38.59,33.73,6.98,29.1,78.1,70.5,2+,32.8,Low,F06,2026-08-31,81.16069999999999,0
10166,Red Sindhi,10,4,73,0,5.36,38.53,34.45,7.63,28.1,60.6,64.4,1+,14.7,No_Risk,F07,2026-08-31,77.1822,0
10167,Hallikar,10,2,66,0,4.0,38.81,34.8,13.19,35.3,94.3,90.2,Negative,40.7,Low,F08,2026-08-31,94.3487,0
10168,Hariana,9,1,234,0,4.71,38.99,35.53,13.89,29.8,45.3,63.0,3+,96.1,High,F09,2026-08-31,77.2162,1
10169,Kankrej,4,4,196,0,2.99,38.97,33.95,8.48,26.2,61.2,44.8,Negative,24.0,No_Risk,F10,2026-08-31,74.5816,0
10170,Kangayam,3,3,28,0,5.81,38.68,35.33,7.36,31.1,67.0,81.6,1+,20.0,No_Risk,F01,2026-08-31,82.469,0
10171,Red Sindhi,6,2,118,0,4.68,38.5,34.49,8.54,29.9,65.6,54.0,Negative,30.3,Low,F02,2026-08-31,80.488,0
10172,Gir,10,1,39,0,3.93,37.96,34.69,5.68,30.1,53.2,82.4,Negative,2.3,No_Risk,F03,2026-08-31,78.8324,0
10173,Red Sindhi,10,5,260,1,4.45,38.26,34.02,6.69,35.3,73.4,92.0,Trace,7.3,No_Risk,F04,2026-08-31,89.9806,0
10174,Rathi,5,4,80,0,4.58,39.22,34.49,6.76,30.2,72.5,81.4,Trace,54.6,Moderate,F05,2026-08-31,82.01499999999999,1
10175,Umblachery,6,2,197,0,4.54,37.96,34.26,9.62,27.9,68.6,88.1,Negative,3.8,No_Risk,F06,2026-08-31,77.981,0
10176,Dangi,10,2,81,1,4.77,38.45,34.35,11.31,22.2,72.0,100.0,1+,42.2,Low,F07,2026-08-31,69.776,0
10177,Red Sindhi,6,3,164,0,4.11,39.0,33.69,11.8,28.4,62.9,86.5,Trace,17.3,No_Risk,F08,2026-08-31,77.92599999999999,0
10178,Gir,4,3,235,0,4.46,38.67,34.83,8.97,33.6,48.6,77.0,Negative,10.7,No_Risk,F09,2026-08-31,82.6112,0
10179,Rathi,5,5,22,0,2.97,38.92,35.45,9.05,28.7,59.4,96.5,Negative,8.9,No_Risk,F10,2026-08-31,77.85419999999999,0
10180,Vechur,6,5,179,0,3.86,38.79,33.8,10.87,21.2,69.9,98.3,Negative,4.2,No_Risk,F01,2026-08-31,68.1132,0
10181,Ongole,3,1,246,0,3.03,39.11,34.21,6.01,27.3,70.0,98.5,Negative,2.7,No_Risk,F02,2026-08-31,77.27000000000001,1
10182,Umblachery,3,1,139,1,5.04,38.82,34.2,13.16,32.5,68.5,64.6,1+,46.3,Low,F03,2026-08-31,84.79849999999999,0
