record_date,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,vaccinated,chronic_disease_flag,ambient_temperature_c,relative_humidity_pct,hygiene_score_0_100,environment_total_mastitis_pathogen_load_log10,S_aureus_load_log10_cfu_equiv,S_uberis_load_log10_cfu_equiv,E_coli_load_log10_cfu_equiv,K_pneumoniae_load_log10_cfu_equiv,S_agalactiae_load_log10_cfu_equiv,dominant_environment_pathogen,milk_yield_kg_day,milk_conductivity_mS_cm,body_temperature_c,udder_surface_temperature_c,clinical_mastitis_now,synthetic_risk_score_pct,mastitis_risk_category,mastitis_in_next_7d,mastitis_in_next_14d,days_to_synthetic_event,temperature_humidity_index
05-01-2026,F22,5,Jersey_cross,3.5,5,24,0,1,0,30.82,75.94,64.18,5.249,3.662,4.931,4.585,4.577,4.053,S_uberis,14.42,3.923,38.56,33.76,0,12.01,No_Risk,0,0,31.0,83.52534800000001
06-01-2026,F22,6,Jersey_cross,3.5,5,25,0,1,0,29.39,59.06,69.63,4.455,3.41,3.918,3.504,3.917,3.792,S_uberis,13.82,3.958,38.68,34.11,0,4.23,No_Risk,0,0,30.0,78.765094
07-01-2026,F22,7,Jersey_cross,3.5,5,26,0,1,0,35.22,75.31,48.94,5.392,4.066,4.274,4.568,5.225,4.052,K_pneumoniae,12.25,3.937,38.44,34.1,0,23.51,Low,0,0,29.0,90.25554199999999
08-01-2026,F22,8,Jersey_cross,3.5,5,27,0,1,0,29.06,68.6,80.55,4.915,4.481,3.849,4.192,4.147,4.187,S_aureus,13.98,3.832,38.43,33.75,0,6.77,No_Risk,0,0,28.0,79.70476
09-01-2026,F22,9,Jersey_cross,3.5,5,28,0,1,0,28.57,80.27,57.14,6.266,4.455,5.426,5.8,5.956,4.185,K_pneumoniae,13.18,4.101,38.31,33.63,0,57.68,Moderate,0,0,27.0,80.630259
10-01-2026,F22,10,Jersey_cross,3.5,5,29,0,1,0,27.33,77.96,74.5,4.595,4.135,3.533,3.737,3.848,3.991,S_aureus,12.53,4.116,38.5,34.76,0,3.1,No_Risk,0,0,26.0,78.344228
11-01-2026,F22,11,Jersey_cross,3.5,5,30,0,1,0,24.43,68.66,43.28,5.627,4.249,5.315,5.026,4.911,4.075,S_uberis,12.21,4.157,38.66,34.18,0,40.69,Low,0,0,25.0,72.830598
12-01-2026,F22,12,Jersey_cross,3.5,5,31,0,1,0,29.36,61.48,78.33,4.42,3.785,3.608,3.819,3.623,3.73,E_coli,13.67,3.95,38.45,34.17,0,3.94,No_Risk,0,0,24.0,79.085408
13-01-2026,F22,13,Jersey_cross,3.5,5,32,0,1,0,31.43,71.91,84.52,5.175,4.274,4.855,4.511,4.342,3.66,S_uberis,13.17,4.101,38.53,34.04,0,7.01,No_Risk,0,0,23.0,83.790273
14-01-2026,F22,14,Jersey_cross,3.5,5,33,0,1,0,25.01,73.18,61.87,4.217,3.825,3.481,3.466,3.303,3.261,S_aureus,12.97,3.968,38.61,34.35,0,4.39,No_Risk,0,0,22.0,74.172398
15-01-2026,F22,15,Jersey_cross,3.5,5,34,0,1,0,27.36,87.76,55.64,5.951,4.054,5.091,5.327,5.723,4.271,K_pneumoniae,12.18,4.208,38.46,34.07,0,43.73,Low,0,0,21.0,79.661696
16-01-2026,F22,16,Jersey_cross,3.5,5,35,0,1,0,29.02,66.97,50.35,5.912,4.914,5.107,5.362,5.564,4.024,K_pneumoniae,12.12,4.095,38.43,34.75,0,58.86,Moderate,0,0,20.0,79.407014
17-01-2026,F22,17,Jersey_cross,3.5,5,36,0,1,0,29.83,74.49,63.77,5.03,3.93,4.504,4.43,4.564,3.497,K_pneumoniae,13.11,4.165,38.52,33.59,0,12.69,No_Risk,0,0,19.0,81.75780699999999
18-01-2026,F22,18,Jersey_cross,3.5,5,37,0,1,0,32.11,87.98,44.69,5.725,4.041,4.9,5.076,5.481,4.268,K_pneumoniae,14.08,3.889,38.63,34.19,0,43.52,Low,0,0,18.0,87.66925800000001
19-01-2026,F22,19,Jersey_cross,3.5,5,38,0,1,0,29.27,64.7,52.64,5.214,4.04,5.081,4.129,4.19,3.537,S_uberis,13.76,4.087,38.62,33.72,0,13.84,No_Risk,0,0,17.0,79.43689
20-01-2026,F22,20,Jersey_cross,3.5,5,39,0,1,0,29.33,86.4,52.39,5.823,4.214,4.696,5.536,5.389,4.01,E_coli,13.98,3.901,38.46,33.9,0,48.76,Moderate,0,0,16.0,82.76352
21-01-2026,F22,21,Jersey_cross,3.5,5,40,0,1,0,30.14,84.63,57.7,5.984,4.203,5.363,5.195,5.738,4.079,K_pneumoniae,13.55,4.023,38.64,34.35,0,39.05,Low,0,0,15.0,83.832762
22-01-2026,F22,22,Jersey_cross,3.5,5,41,0,1,0,29.75,64.74,87.69,5.185,3.749,5.048,4.325,4.103,3.31,S_uberis,14.19,4.042,38.38,34.77,0,7.4,No_Risk,0,1,14.0,80.13758999999999
23-01-2026,F22,23,Jersey_cross,3.5,5,42,0,1,0,30.73,83.73,15.76,6.153,4.444,4.743,5.751,5.877,4.324,K_pneumoniae,13.12,4.202,38.57,34.03,0,75.08,High,0,1,13.0,84.65710899999999
24-01-2026,F22,24,Jersey_cross,3.5,5,43,0,1,0,31.56,63.7,48.67,5.049,4.465,4.446,4.364,4.441,3.608,S_aureus,12.46,4.133,38.4,34.79,0,19.15,No_Risk,0,1,12.0,82.57892
25-01-2026,F22,25,Jersey_cross,3.5,5,44,0,1,0,30.09,72.38,71.02,5.024,4.186,4.697,4.067,4.366,3.752,S_uberis,12.8,4.307,38.44,33.99,0,13.51,No_Risk,0,1,11.0,81.828422
26-01-2026,F22,26,Jersey_cross,3.5,5,45,0,1,0,27.9,74.75,50.96,5.261,4.337,4.869,4.419,4.708,3.98,S_uberis,12.36,4.252,38.75,34.16,0,22.12,Low,0,1,10.0,78.81125
27-01-2026,F22,27,Jersey_cross,3.5,5,46,0,1,0,22.46,68.68,70.67,5.272,4.982,4.71,4.144,4.315,3.728,S_aureus,12.0,4.171,38.59,34.13,0,16.55,No_Risk,0,1,9.0,69.90360799999999
28-01-2026,F22,28,Jersey_cross,3.5,5,47,0,1,0,27.98,84.26,48.75,6.045,4.469,5.171,5.399,5.828,3.898,K_pneumoniae,11.89,4.167,38.7,34.78,0,61.36,Moderate,0,1,8.0,80.226508
29-01-2026,F22,29,Jersey_cross,3.5,5,48,0,1,0,31.17,82.23,33.24,6.375,4.376,4.951,5.621,6.254,4.662,K_pneumoniae,11.5,4.421,38.81,34.28,0,70.09,High,1,1,7.0,85.125971
30-01-2026,F22,30,Jersey_cross,3.5,5,49,0,1,0,29.0,82.89,54.5,5.968,4.056,5.129,5.586,5.587,4.069,K_pneumoniae,11.5,4.173,38.88,34.74,0,48.96,Moderate,1,1,6.0,81.70194000000001
31-01-2026,F22,31,Jersey_cross,3.5,5,50,0,1,0,23.96,84.01,81.09,5.214,4.749,4.385,4.034,4.513,4.603,S_aureus,11.07,4.59,38.67,34.18,0,15.78,No_Risk,1,1,5.0,73.599356
01-02-2026,F22,32,Jersey_cross,3.5,5,51,0,1,0,33.02,71.88,77.17,5.516,4.893,4.965,4.722,4.927,4.316,S_uberis,11.9,4.711,38.62,35.5,0,30.63,Low,1,1,4.0,86.200056
02-02-2026,F22,33,Jersey_cross,3.5,5,52,0,1,0,31.57,69.18,68.78,4.915,4.054,4.405,4.229,4.28,3.981,S_uberis,11.91,4.882,39.0,34.88,0,13.45,No_Risk,1,1,3.0,83.53420600000001
03-02-2026,F22,34,Jersey_cross,3.5,5,53,0,1,0,25.69,79.26,51.78,6.207,4.871,5.375,5.248,6.044,4.161,K_pneumoniae,10.39,5.026,38.85,34.56,0,74.56,High,1,1,2.0,75.900454
04-02-2026,F22,35,Jersey_cross,3.5,5,54,0,1,0,22.93,81.69,32.37,6.362,4.279,5.131,5.696,6.214,4.134,K_pneumoniae,10.13,5.009,38.72,34.84,0,83.25,High,1,1,1.0,71.71215699999999
05-02-2026,F22,36,Jersey_cross,3.5,5,55,0,1,0,24.7,90.67,63.37,6.378,5.04,4.652,5.509,6.276,4.341,K_pneumoniae,10.94,4.869,38.63,35.35,1,75.82,High,0,0,0.0,75.49901
06-02-2026,F22,37,Jersey_cross,3.5,5,56,0,1,0,28.45,67.0,35.54,6.507,4.471,5.591,5.786,6.33,4.655,K_pneumoniae,11.0,5.049,38.72,35.18,1,89.18,High,0,0,-1.0,78.5735
07-02-2026,F22,38,Jersey_cross,3.5,5,57,0,1,0,28.13,82.98,32.86,6.485,4.839,5.277,6.073,6.204,4.208,K_pneumoniae,9.33,5.608,38.99,35.35,1,91.14,High,0,0,-2.0,80.297154
08-02-2026,F22,39,Jersey_cross,3.5,5,58,0,1,0,26.15,73.08,66.19,4.881,3.97,4.198,4.536,4.018,3.792,E_coli,9.86,5.151,38.87,35.73,1,16.62,No_Risk,0,0,-3.0,75.90690000000001
09-02-2026,F22,40,Jersey_cross,3.5,5,59,0,1,0,25.86,77.04,25.08,5.818,4.138,5.139,5.164,5.544,4.035,K_pneumoniae,9.12,5.563,38.79,35.56,1,78.56,High,0,0,-4.0,75.916784
01-01-2026,F23,41,HF_cross,4.0,3,20,0,0,0,28.67,72.58,62.79,4.898,3.834,4.577,4.163,4.006,3.988,S_uberis,16.48,4.011,38.39,34.4,0,7.83,No_Risk,0,0,,79.693166
02-01-2026,F23,42,HF_cross,4.0,3,21,0,0,0,24.05,83.81,72.3,4.655,4.134,3.68,3.948,3.936,3.968,S_aureus,17.31,4.06,38.58,33.6,0,6.17,No_Risk,0,0,,73.727665
03-01-2026,F23,43,HF_cross,4.0,3,22,0,0,0,27.7,76.18,75.81,4.764,3.562,4.367,4.129,3.96,3.932,S_uberis,16.06,4.164,38.46,33.73,0,5.65,No_Risk,0,0,,78.69193999999999
04-01-2026,F23,44,HF_cross,4.0,3,23,0,0,0,28.71,87.19,61.99,5.96,4.676,5.115,5.664,5.377,4.55,E_coli,16.48,3.924,38.58,33.63,0,47.14,Moderate,0,0,,81.844889
05-01-2026,F23,45,HF_cross,4.0,3,24,0,0,0,25.09,88.39,56.59,5.677,4.266,4.628,5.186,5.382,4.311,K_pneumoniae,16.14,3.867,38.59,34.25,0,36.86,Low,0,0,,75.920891
06-01-2026,F23,46,HF_cross,4.0,3,25,0,0,0,31.25,74.56,58.17,5.323,4.145,5.077,4.562,4.54,3.765,S_uberis,16.12,4.019,38.41,34.18,0,14.88,No_Risk,0,0,,83.96336
07-01-2026,F23,47,HF_cross,4.0,3,26,0,0,0,34.82,76.07,42.73,6.084,4.377,4.882,5.45,5.913,4.086,K_pneumoniae,16.31,4.023,38.45,33.57,0,47.72,Moderate,0,0,,89.78949399999999
08-01-2026,F23,48,HF_cross,4.0,3,27,0,0,0,27.8,63.85,52.69,5.421,3.868,5.248,4.395,4.685,3.808,S_uberis,15.79,3.989,38.45,33.55,0,25.48,Low,0,0,,77.1959
09-01-2026,F23,49,HF_cross,4.0,3,28,0,0,0,27.68,87.4,41.17,6.836,4.402,5.212,6.031,6.743,4.794,K_pneumoniae,16.14,4.154,38.54,33.77,0,76.43,High,0,0,,80.15072
10-01-2026,F23,50,HF_cross,4.0,3,29,0,0,0,32.7,52.04,54.33,5.207,3.801,4.997,4.514,4.021,4.089,S_uberis,15.87,4.189,38.52,33.79,0,14.8,No_Risk,0,0,,82.08332000000001
11-01-2026,F23,51,HF_cross,4.0,3,30,0,0,0,29.45,73.67,31.77,6.198,4.482,5.345,5.477,6.003,4.238,K_pneumoniae,15.9,3.862,38.58,33.83,0,72.15,High,0,0,,81.047335
12-01-2026,F23,52,HF_cross,4.0,3,31,0,0,0,34.16,86.51,16.06,6.199,4.677,5.206,5.929,5.678,4.686,E_coli,17.31,3.807,38.5,34.11,0,70.13,High,0,0,,90.82237599999999
13-01-2026,F23,53,HF_cross,4.0,3,32,0,0,0,31.87,94.04,48.32,6.03,4.48,5.471,5.421,5.67,4.129,K_pneumoniae,16.73,3.927,38.38,34.15,0,59.14,Moderate,0,0,,88.32478800000001
14-01-2026,F23,54,HF_cross,4.0,3,33,0,0,0,28.26,90.73,37.28,6.447,4.911,5.437,6.054,6.111,4.302,K_pneumoniae,16.87,4.197,38.6,33.93,0,74.58,High,0,0,,81.583178
15-01-2026,F23,55,HF_cross,4.0,3,34,0,0,0,29.83,78.4,82.07,5.071,3.625,4.709,4.406,4.505,3.687,S_uberis,16.28,3.959,38.62,33.8,0,8.18,No_Risk,0,0,,82.36112
16-01-2026,F23,56,HF_cross,4.0,3,35,0,0,0,29.79,73.43,63.63,5.341,4.745,4.933,4.561,4.558,3.719,S_uberis,16.07,4.082,38.58,34.23,0,22.68,Low,0,0,,81.532877
17-01-2026,F23,57,HF_cross,4.0,3,36,0,0,0,31.56,76.82,55.04,5.654,4.01,5.227,5.074,5.144,4.156,S_uberis,16.95,4.051,38.45,34.34,0,27.68,Low,0,0,,84.83031199999999
18-01-2026,F23,58,HF_cross,4.0,3,37,0,0,0,32.51,67.79,78.28,4.698,3.87,4.091,3.899,3.853,4.178,S_agalactiae,16.63,3.995,38.61,34.26,0,4.54,No_Risk,0,0,,84.68476899999999
19-01-2026,F23,59,HF_cross,4.0,3,38,0,0,0,34.22,64.93,9.78,6.417,5.12,5.288,5.908,6.154,4.724,K_pneumoniae,17.45,4.2,38.55,34.07,0,81.53,High,0,0,,86.645126
20-01-2026,F23,60,HF_cross,4.0,3,39,0,0,0,32.24,57.78,77.18,4.913,4.422,3.706,4.296,4.31,4.007,S_aureus,16.4,3.826,38.51,33.99,0,8.08,No_Risk,0,0,,82.49995200000001
21-01-2026,F23,61,HF_cross,4.0,3,40,0,0,0,26.79,86.22,35.09,6.458,4.728,5.546,6.135,6.033,4.345,E_coli,15.38,4.135,38.73,34.75,0,79.57,High,0,0,,78.514658
22-01-2026,F23,62,HF_cross,4.0,3,41,0,0,0,33.11,75.8,1.43,6.366,4.549,5.061,5.942,6.107,4.244,K_pneumoniae,17.0,3.911,38.45,34.15,0,82.13,High,0,0,,87.07018
23-01-2026,F23,63,HF_cross,4.0,3,42,0,0,0,27.85,90.84,41.77,6.522,4.827,5.587,5.915,6.306,4.493,K_pneumoniae,16.19,3.997,38.43,34.17,0,75.45,High,0,0,,80.89797999999999
24-01-2026,F23,64,HF_cross,4.0,3,43,0,0,0,27.87,75.78,78.23,4.874,4.422,3.567,4.177,3.856,4.351,S_aureus,16.06,4.139,38.65,34.4,0,4.5,No_Risk,0,0,,78.90356600000001
25-01-2026,F23,65,HF_cross,4.0,3,44,0,0,0,30.13,82.06,50.14,6.347,4.493,5.502,5.926,6.011,3.944,K_pneumoniae,16.34,3.917,38.49,34.11,0,66.9,Moderate,0,0,,83.412038
26-01-2026,F23,66,HF_cross,4.0,3,45,0,0,0,33.9,64.88,73.82,4.948,4.602,4.022,4.343,4.087,3.6,S_aureus,15.92,4.107,38.49,34.54,0,7.68,No_Risk,0,0,,86.1716
27-01-2026,F23,67,HF_cross,4.0,3,46,0,0,0,25.36,85.49,39.93,7.0,4.947,5.516,6.278,6.882,4.76,K_pneumoniae,16.96,4.272,38.42,34.03,0,84.74,High,0,0,,76.057704
28-01-2026,F23,68,HF_cross,4.0,3,47,0,0,0,27.36,79.29,52.83,6.028,5.224,5.282,5.117,5.749,4.146,K_pneumoniae,16.77,4.083,38.29,33.86,0,49.78,Moderate,0,0,,78.563984
29-01-2026,F23,69,HF_cross,4.0,3,48,0,0,0,29.62,66.1,46.82,5.889,4.4,5.022,5.62,5.339,3.986,E_coli,16.05,4.158,38.54,33.7,0,47.05,Moderate,0,0,,80.15642
30-01-2026,F23,70,HF_cross,4.0,3,49,0,0,0,27.16,69.83,84.31,5.27,4.028,4.969,4.453,4.615,4.11,S_uberis,15.65,4.06,38.46,34.28,0,11.54,No_Risk,0,0,,77.038308
31-01-2026,F23,71,HF_cross,4.0,3,50,0,0,0,28.67,69.81,73.8,4.948,4.075,4.635,3.961,4.266,3.776,S_uberis,15.88,4.095,38.55,34.91,0,8.8,No_Risk,0,0,,79.297887
01-02-2026,F23,72,HF_cross,4.0,3,51,0,0,0,32.89,67.75,71.14,4.553,3.979,3.58,3.918,4.013,3.582,K_pneumoniae,16.11,4.019,38.6,34.0,0,6.54,No_Risk,0,0,,85.23897500000001
02-02-2026,F23,73,HF_cross,4.0,3,52,0,0,0,29.76,86.79,75.67,5.299,4.728,4.918,4.44,4.412,3.972,S_uberis,15.6,4.064,38.44,33.96,0,15.73,No_Risk,0,0,,83.53894400000001
03-02-2026,F23,74,HF_cross,4.0,3,53,0,0,0,30.68,92.43,73.6,5.442,4.3,4.822,4.917,4.826,4.614,E_coli,15.33,4.0,38.51,33.67,0,21.31,Low,0,0,,85.991604
04-02-2026,F23,75,HF_cross,4.0,3,54,0,0,0,33.12,72.28,68.5,5.201,4.695,4.422,4.197,4.716,4.183,K_pneumoniae,14.83,3.866,38.49,33.95,0,15.88,No_Risk,0,0,,86.426816
05-02-2026,F23,76,HF_cross,4.0,3,55,0,0,0,25.57,80.21,10.32,6.33,4.17,4.907,5.752,6.165,4.1,K_pneumoniae,15.75,3.956,38.43,34.51,0,70.13,High,0,0,,75.81545700000001
06-02-2026,F23,77,HF_cross,4.0,3,56,0,0,0,29.93,74.91,64.66,4.719,3.873,4.28,3.99,3.975,3.82,S_uberis,16.05,3.967,38.41,34.38,0,6.2,No_Risk,0,0,,81.97752299999999
07-02-2026,F23,78,HF_cross,4.0,3,57,0,0,0,27.36,73.1,52.41,5.477,4.52,5.116,4.798,4.74,4.27,S_uberis,15.28,3.946,38.68,33.6,0,22.6,Low,0,0,,77.76176
08-02-2026,F23,79,HF_cross,4.0,3,58,0,0,0,27.38,78.88,60.04,4.554,3.779,3.777,3.909,3.69,4.033,S_agalactiae,15.37,4.005,38.68,35.07,0,3.94,No_Risk,0,0,,78.54262399999999
09-02-2026,F23,80,HF_cross,4.0,3,59,0,0,0,26.11,75.01,12.85,6.579,4.277,4.496,6.225,6.31,4.274,K_pneumoniae,14.91,3.886,38.56,33.96,0,80.55,High,0,0,,76.07167100000001
01-01-2026,F16,81,Gir_cross,5.9,1,20,0,1,0,24.0,74.0,81.13,4.362,3.878,2.875,3.368,3.76,3.821,S_aureus,8.35,4.067,38.65,34.01,0,2.38,No_Risk,0,0,,72.70400000000001
02-01-2026,F16,82,Gir_cross,5.9,1,21,0,1,0,33.59,68.65,53.28,5.398,4.324,4.996,4.96,4.092,4.417,S_uberis,10.14,3.963,38.27,34.64,0,18.99,No_Risk,0,0,,86.445935
03-01-2026,F16,83,Gir_cross,5.9,1,22,0,1,0,27.3,72.48,62.55,5.129,4.807,4.295,4.237,4.416,3.87,S_aureus,9.42,4.342,38.43,34.56,0,9.86,No_Risk,0,0,,77.58992
04-01-2026,F16,84,Gir_cross,5.9,1,23,0,1,0,29.49,84.4,48.43,5.304,3.896,4.693,4.501,5.018,3.899,K_pneumoniae,9.87,4.042,38.46,33.85,0,27.93,Low,0,0,,82.72796
05-01-2026,F16,85,Gir_cross,5.9,1,24,0,1,0,28.07,77.53,53.39,5.401,3.93,4.914,4.777,4.919,4.272,K_pneumoniae,9.67,4.181,38.38,33.72,0,20.48,Low,0,0,,79.454351
06-01-2026,F16,86,Gir_cross,5.9,1,25,0,1,0,26.06,83.47,49.45,6.021,4.636,5.131,5.661,5.599,4.167,E_coli,8.6,4.08,38.59,34.35,0,56.04,Moderate,0,0,,76.980602
07-01-2026,F16,87,Gir_cross,5.9,1,26,0,1,0,24.44,75.32,64.43,5.532,3.853,4.807,4.888,5.267,3.852,K_pneumoniae,8.99,3.942,38.5,34.08,0,21.39,Low,0,0,,73.514128
08-01-2026,F16,88,Gir_cross,5.9,1,27,0,1,0,32.55,78.16,64.44,4.635,3.675,4.12,3.722,3.979,4.017,S_uberis,9.55,3.859,38.35,34.34,0,5.59,No_Risk,0,0,,86.62603999999999
09-01-2026,F16,89,Gir_cross,5.9,1,28,0,1,0,30.86,86.26,0.0,7.106,4.675,5.162,6.595,6.933,4.821,K_pneumoniae,8.59,4.063,38.6,33.99,0,92.05,High,0,0,,85.286396
10-01-2026,F16,90,Gir_cross,5.9,1,29,0,1,0,28.0,85.61,43.68,5.305,4.146,4.284,4.611,5.083,3.815,K_pneumoniae,8.9,4.037,38.44,34.75,0,26.34,Low,0,0,,80.44296
11-01-2026,F16,91,Gir_cross,5.9,1,30,0,1,0,27.01,61.74,85.87,5.272,5.013,4.166,4.337,3.892,4.598,S_aureus,8.44,4.05,38.79,34.44,0,5.29,No_Risk,0,0,,75.79341400000001
12-01-2026,F16,92,Gir_cross,5.9,1,31,0,1,0,28.43,68.42,48.51,5.225,4.465,4.95,4.248,4.419,3.764,S_uberis,9.01,4.058,38.58,34.19,0,18.95,No_Risk,0,0,,78.743326
13-01-2026,F16,93,Gir_cross,5.9,1,32,0,1,0,33.52,69.83,71.43,5.238,3.857,4.949,4.468,4.62,3.777,S_uberis,8.76,3.952,38.67,34.4,0,9.4,No_Risk,0,0,,86.567496
14-01-2026,F16,94,Gir_cross,5.9,1,33,0,1,0,27.01,69.11,81.99,5.082,3.995,4.699,3.834,4.609,4.125,S_uberis,9.2,4.103,38.56,34.37,0,6.94,No_Risk,0,0,,76.722771
15-01-2026,F16,95,Gir_cross,5.9,1,34,0,1,0,26.88,78.76,83.97,4.924,3.932,4.29,4.172,4.304,4.322,S_agalactiae,8.96,3.823,38.52,34.49,0,6.18,No_Risk,0,0,,77.733248
16-01-2026,F16,96,Gir_cross,5.9,1,35,0,1,0,29.79,82.98,49.67,6.748,4.188,5.409,6.196,6.571,4.519,K_pneumoniae,8.95,3.98,38.58,33.84,0,73.03,High,0,0,,83.002622
17-01-2026,F16,97,Gir_cross,5.9,1,36,0,1,0,23.31,75.98,60.34,6.403,4.934,5.112,6.104,6.013,4.1,E_coli,9.43,4.069,38.52,33.78,0,64.19,Moderate,0,0,,71.81781799999999
18-01-2026,F16,98,Gir_cross,5.9,1,37,0,1,0,31.46,75.26,50.57,5.948,4.018,5.266,5.454,5.602,3.944,K_pneumoniae,8.66,4.074,38.33,33.96,0,45.86,Moderate,0,0,,84.407356
19-01-2026,F16,99,Gir_cross,5.9,1,38,0,1,0,28.61,81.39,48.39,5.845,4.202,5.129,5.162,5.596,3.957,K_pneumoniae,9.2,4.004,38.3,34.68,0,42.57,Low,0,0,,80.853519
20-01-2026,F16,100,Gir_cross,5.9,1,39,0,1,0,30.1,62.42,83.69,4.183,3.382,3.317,3.497,3.774,3.226,K_pneumoniae,8.77,4.182,38.68,34.17,0,1.99,No_Risk,0,0,,80.27994000000001
21-01-2026,F16,101,Gir_cross,5.9,1,40,0,1,0,32.72,81.63,34.04,6.483,5.178,5.22,5.473,6.383,4.054,K_pneumoniae,8.98,4.051,38.41,34.25,0,72.66,High,0,0,,87.53061600000001
22-01-2026,F16,102,Gir_cross,5.9,1,41,0,1,0,29.11,50.75,76.71,4.618,3.734,3.709,4.003,4.276,3.3,K_pneumoniae,9.0,4.011,38.56,34.27,0,3.62,No_Risk,0,0,,77.153325
23-01-2026,F16,103,Gir_cross,5.9,1,42,0,1,0,29.2,83.7,54.3,6.219,4.753,5.472,5.596,5.948,4.314,K_pneumoniae,8.62,4.141,38.56,34.11,0,53.19,Moderate,0,0,,82.1476
24-01-2026,F16,104,Gir_cross,5.9,1,43,0,1,0,34.57,71.63,51.69,6.09,4.365,5.103,5.541,5.853,4.3,K_pneumoniae,8.65,3.944,38.5,34.57,0,50.94,Moderate,0,0,,88.503771
25-01-2026,F16,105,Gir_cross,5.9,1,44,0,1,0,31.0,97.49,71.97,5.958,5.001,5.217,5.479,5.496,4.448,K_pneumoniae,8.94,4.013,38.35,33.82,0,33.87,Low,0,0,,87.38334
26-01-2026,F16,106,Gir_cross,5.9,1,45,0,1,0,32.26,85.91,28.87,6.323,4.001,4.633,5.922,6.082,3.95,K_pneumoniae,8.63,4.097,38.6,34.16,0,65.28,Moderate,0,0,,87.551526
27-01-2026,F16,107,Gir_cross,5.9,1,46,0,1,0,33.92,59.06,71.5,4.341,3.642,3.729,3.83,3.552,3.264,E_coli,8.85,4.151,38.42,34.54,0,4.6,No_Risk,0,0,,85.06451200000001
28-01-2026,F16,108,Gir_cross,5.9,1,47,0,1,0,30.86,65.71,48.45,5.767,4.587,5.479,5.06,4.945,4.619,S_uberis,8.72,4.062,38.36,34.4,0,42.66,Low,0,0,,81.903866
29-01-2026,F16,109,Gir_cross,5.9,1,48,0,1,0,27.4,75.06,65.46,4.718,4.245,3.95,4.218,3.544,3.754,S_aureus,8.74,4.225,38.38,33.96,0,7.96,No_Risk,0,0,,78.0778
30-01-2026,F16,110,Gir_cross,5.9,1,49,0,1,0,30.19,71.99,56.33,5.394,4.733,5.102,4.39,4.481,4.101,S_uberis,9.13,4.398,38.58,34.29,0,22.87,Low,0,0,,81.919221
